player,role,batting_style,bowling_style,Image,team
Murugan Ashwin,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309077.jpg",Rajasthan Royals
Mustafizur Rahman,Bowler,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/263500/263578.jpg",Delhi Capitals
Narayan Jagadeesan,Opening Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309100/309103.square.png",Kolkata Knight Riders
Nathan Ellis,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/327000/327014.4.jpg",Punjab Kings
Navdeep Saini,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356809.1.png",Rajasthan Royals
Naveen-ul-Haq,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303200/303285.jpg",Lucknow Super Giants
Nehal Wadhera,Top order Batter,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357800/357843.1.png",Mumbai Indians
Nicholas Pooran,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302200/302286.jpg",Lucknow Super Giants
Nishant Sindhu,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338200/338260.4.jpg",Chennai Super Kings
Nitish Kumar Reddy,Batting Allrounder,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314800/314899.png",Sunrisers Hyderabad
Nitish Rana,Middle order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356782.1.png",Kolkata Knight Riders
Noor Ahmad,Bowler,Right hand Bat,Left arm Wrist spin,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/311200/311270.jpg",Gujarat Titans 
Obed McCoy,Bowler,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322031.png",Rajasthan Royals
Odean Smith,Bowling Allrounder,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/348100/348147.4.jpg",Gujarat Titans 
Phil Salt,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312181.png",Delhi Capitals
Piyush Chawla,Bowling Allrounder,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304200/304219.png",Mumbai Indians
Prabhsimran Singh,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/352900/352932.4.jpg",Punjab Kings
Pradeep Sangwan,Bowler,Right hand Bat,Left arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/337400/337448.15.jpg",Gujarat Titans 
Prashant Solanki,Bowler,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356836.1.png",Chennai Super Kings
Prasidh Krishna,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356808.1.png",Rajasthan Royals
Praveen Dubey,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/310700/310753.jpg",Delhi Capitals
Prerak Mankad,Allrounder,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/player-jersey.svg,Lucknow Super Giants
Prithvi Shaw,Opening Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356848.1.png",Delhi Capitals
Priyam Garg,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309082.png",Delhi Capitals
Quinton de Kock,Wicketkeeper Batter,Left hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317900/317947.jpg",Lucknow Super Giants
Raghav Goyal,Bowler,Left hand Bat,Left arm Wrist spin,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357635.4.jpg",Mumbai Indians
Rahmanullah Gurbaz,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357020.1.png",Kolkata Knight Riders
Rahul Chahar,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/329300/329346.4.jpg",Punjab Kings
Rahul Tewatia,Bowling Allrounder,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/184200/184293.jpg",Gujarat Titans 
Rahul Tripathi,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356821.1.png",Sunrisers Hyderabad
Raj Bawa,Allrounder,Left hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/337400/337424.4.jpg",Punjab Kings
Rajan Kumar,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357625.4.jpg",Royal Challengers Bangalore
Rajat Patidar,Top order Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/player-jersey.svg,Royal Challengers Bangalore
Rajvardhan Hangargekar,Bowling Allrounder,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336200/336292.4.jpg",Chennai Super Kings
Ramandeep Singh,Middle order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357800/357844.1.png",Mumbai Indians
Rashid Khan,Bowling Allrounder,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/289200/289234.1.jpg",Gujarat Titans 
Ravi Bishnoi,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/335000/335051.4.jpg",Lucknow Super Giants
Ravichandran Ashwin,Bowling Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302395.jpg",Rajasthan Royals
Ravindra Jadeja,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302394.jpg",Chennai Super Kings
Ravisrinivasan Sai Kishore,Bowler,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/player-jersey.svg,Gujarat Titans 
Reece Topley,Bowler,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356811.1.png",Royal Challengers Bangalore
Rilee Rossouw,Top order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312176.png",Delhi Capitals
Riley Meredith,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/313600/313637.1.jpg",Mumbai Indians
Rinku Singh,Middle order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338171.4.jpg",Kolkata Knight Riders
Ripal Patel,Middle order Batter,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356826.1.png",Delhi Capitals
Rishabh Pant,Wicketkeeper Batter,Left hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304200/304221.png",Delhi Capitals
Rishi Dhawan,Allrounder,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314991.jpg",Punjab Kings
Riyan Parag,Top order Batter,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/271800/271898.jpg",Rajasthan Royals
Rohit Sharma,Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302374.jpg",Mumbai Indians
Romario Shepherd,Bowling Allrounder,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322037.png",Lucknow Super Giants
Rovman Powell,Middle order Batter,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/246200/246267.1.jpg",Delhi Capitals
Ruturaj Gaikwad,Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356779.1.png",Chennai Super Kings
Sai Sudharsan,Top order Batter,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356851.1.png",Gujarat Titans 
Sam Curran,Allrounder,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304300/304324.jpg",Punjab Kings
Samarth Vyas,Allrounder,Right hand Bat,Legbreak Googly,https://wassets.hscicdn.com/static/images/player-jersey.svg,Sunrisers Hyderabad
Sandeep Sharma,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/149100/149117.jpg",Rajasthan Royals
Sandeep Warrier,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357470.3.jpg",Mumbai Indians
Sanju Samson,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/318800/318843.jpg",Rajasthan Royals
Sanvir Singh,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357500/357584.4.jpg",Sunrisers Hyderabad
Sarfaraz Khan,Middle order Batter,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336800/336899.4.jpg",Delhi Capitals
Shahbaz Ahmed,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/308600/308627.1.jpg",Royal Challengers Bangalore
Shaik Rasheed,Batter,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338195.4.jpg",Chennai Super Kings
Shakib Al Hasan,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303100/303157.jpg",Kolkata Knight Riders
Shams Mulani,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357800/357845.1.png",Mumbai Indians
Shardul Thakur,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302372.jpg",Kolkata Knight Riders
Shikhar Dhawan,Opening Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302373.jpg",Punjab Kings
Shimron Hetmyer,Top order Batter,Left hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356802.1.png",Rajasthan Royals
Shivam Dube,Allrounder,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356768.1.png",Chennai Super Kings
Shivam Mavi,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338173.4.jpg",Gujarat Titans 
Shivam Singh,Middle order Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/player-jersey.svg,Punjab Kings
Shreyas Iyer,Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309100/309198.1.jpg",Kolkata Knight Riders
Shubman Gill,Opening Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312153.jpg",Gujarat Titans 
Siddarth Kaul,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309092.png",Royal Challengers Bangalore
Sikandar Raza,Batting Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/181300/181305.1.jpg",Punjab Kings
Simarjeet Singh,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356835.1.png",Chennai Super Kings
Sisanda Magala,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/324700/324707.1.jpg",Chennai Super Kings
Sonu Yadav,Allrounder,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357623.4.jpg",Royal Challengers Bangalore
Srikar Bharat,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314800/314851.png",Gujarat Titans 
Subhranshu Senapati,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356837.1.png",Chennai Super Kings
Sunil Narine,Bowling Allrounder,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/203300/203303.1.jpg",Kolkata Knight Riders
Suryakumar Yadav,Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/329300/329343.4.jpg",Mumbai Indians
Suyash Prabhudessai,Batting Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357630.4.jpg",Royal Challengers Bangalore
Suyash Sharma,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357016.1.png",Kolkata Knight Riders
Swapnil Singh,Bowler,Right hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357025.1.png",Lucknow Super Giants
T Natarajan,Bowler,Left hand Bat,Left arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315600/315602.jpg",Sunrisers Hyderabad
Tilak Varma,Batting Allrounder,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314700/314790.jpg",Mumbai Indians
Tim David,Middle order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/313600/313639.1.jpg",Mumbai Indians
Tim Southee,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303600/303610.png",Kolkata Knight Riders
Trent Boult,Bowler,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303600/303673.jpg",Rajasthan Royals
Tristan Stubbs,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/345900/345940.4.jpg",Mumbai Indians
Tushar Deshpande,Bowler,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/310600/310643.jpg",Chennai Super Kings
Umesh Yadav,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302396.jpg",Kolkata Knight Riders
Umran Malik,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356816.1.png",Sunrisers Hyderabad
Upendra Yadav,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/player-jersey.svg,Sunrisers Hyderabad
Urvil Patel,Wicketkeeper Batter,Right hand Bat,DNB,https://wassets.hscicdn.com/static/images/player-jersey.svg,Gujarat Titans 
Vaibhav Arora,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357019.1.png",Kolkata Knight Riders
Varun Chakravarthy,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/329300/329347.4.jpg",Kolkata Knight Riders
Venkatesh Iyer,Allrounder,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/328700/328712.1.jpg",Kolkata Knight Riders
Vicky Ostwal,Bowler,Right hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/336900/336901.4.jpg",Delhi Capitals
Vidwath Kaverappa,Bowler,Right hand Bat,Right arm Fast medium,https://wassets.hscicdn.com/static/images/player-jersey.svg,Punjab Kings
Vijay Shankar,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/289600/289614.1.jpg",Gujarat Titans 
Vijaykumar Vyshak,Bowler,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/player-jersey.svg,Royal Challengers Bangalore
Virat Kohli,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/289000/289002.1.jpg",Royal Challengers Bangalore
Vishnu Vinod,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357639.4.jpg",Mumbai Indians
